GEO ID,County,State,Year,County PrEP Users,HIV New Incidences,Census Population Estimates,Median Household Income,Unemployment Rate,PnR,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2013,15,14,289935,71137,9.2,1.07142857142857,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2013,60,185,657101,55699,8,0.324324324324324,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2013,4,7,126443,107203,6,0.571428571428571,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2013,18,61,369534,70575,7.4,0.295081967213115,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2013,40,66,821811,76515,7.7,0.606060606060606,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2013,31,67,626964,83424,7.7,0.462686567164179,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2013,29,28,496050,99950,6.3,1.03571428571429,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2013,18,28,582166,59888,9.5,0.642857142857143,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2013,22,78,503815,57426,10.2,0.282051282051282,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2013,3,10,64801,58483,10.6,0.3,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2013,13,34,329052,96947,6.5,0.382352941176471,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2013,7,6,145672,85747,8.1,1.16666666666667,,,,,,,,,,,,,,,,
34039,Union County,NJ,2013,31,96,546051,64272,8.5,0.322916666666667,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2013,4,,106933,68011,7.8,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2014,24,31,272634,54208,10.5,0.774193548387097,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2014,85,70,923475,84309,5.4,1.21428571428571,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2014,49,41,449806,80479,6.4,1.19512195121951,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2014,66,76,508409,61685,7.7,0.868421052631579,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2014,10,,94961,55409,12.2,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2014,10,18,155887,45438,9.9,0.555555555555556,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2014,92,314,788796,54603,8,0.292993630573248,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2014,31,14,290742,78983,7.3,2.21428571428571,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2014,125,189,660312,57720,6.3,0.661375661375661,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2014,11,14,125902,103876,4.8,0.785714285714286,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2014,36,65,369031,73750,5.8,0.553846153846154,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2014,106,65,824331,77330,6.1,1.63076923076923,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2014,48,42,625581,87220,6.1,1.14285714285714,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2014,41,22,494931,100511,5,1.86363636363636,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2014,40,29,584563,62937,7.4,1.37931034482759,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2014,51,97,504483,58030,8.2,0.525773195876289,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2014,7,,64342,56645,8.5,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2014,30,38,329378,100194,5.2,0.789473684210526,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2014,10,5,144639,82048,6.4,2,,,,,,,,,,,,,,,,
34039,Union County,NJ,2014,63,90,548052,68172,6.9,0.7,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2014,8,,107022,71294,6.3,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2015,56,52,270206,53296,9.5,1.07692307692308,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2015,199,69,926481,88512,4.6,2.88405797101449,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2015,95,44,447906,74844,5.3,2.15909090909091,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2015,130,70,507760,63589,6.4,1.85714285714286,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2015,19,6,94330,55632,11,3.16666666666667,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2015,20,19,154580,50259,8.7,1.05263157894737,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2015,191,318,790546,52206,6.8,0.60062893081761,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2015,60,9,291022,76780,6,6.66666666666667,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2015,237,176,664595,60053,5.3,1.34659090909091,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2015,18,7,125569,102797,4.2,2.57142857142857,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2015,61,57,368266,72172,4.9,1.07017543859649,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2015,179,83,825471,78249,5.1,2.1566265060241,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2015,100,33,624180,86722,5.1,3.03030303030303,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2015,103,26,494370,101754,4.3,3.96153846153846,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2015,88,21,587238,63478,6.1,4.19047619047619,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2015,105,76,504556,55723,7,1.38157894736842,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2015,13,,63754,63988,7.3,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2015,56,34,329682,99059,4.5,1.64705882352941,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2015,24,,143059,84431,5.4,,,,,,,,,,,,,,,,,
34039,Union County,NJ,2015,113,68,549954,70581,6,1.66176470588235,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2015,16,6,106787,71672,5.3,2.66666666666667,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2016,64,48,267212,55672,7.4,1.33333333333333,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2016,220,72,928381,93205,4.2,3.05555555555556,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2016,108,29,447092,80081,4.4,3.72413793103448,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2016,140,59,507119,65838,5.5,2.3728813559322,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2016,20,,93825,59181,9.8,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2016,23,20,153003,48867,7.4,1.15,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2016,236,306,793073,54879,6,0.77124183006536,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2016,67,17,290795,79332,5,3.94117647058824,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2016,335,172,668673,63157,4.6,1.94767441860465,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2016,23,9,124976,113336,3.7,2.55555555555556,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2016,78,59,367929,76988,4.3,1.32203389830508,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2016,229,81,825298,82183,4.4,2.82716049382716,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2016,143,54,623055,89968,4.4,2.64814814814815,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2016,119,34,493831,107019,3.9,3.5,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2016,115,17,591142,62276,5.2,6.76470588235294,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2016,113,84,504001,61517,6.1,1.3452380952381,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2016,14,,63256,56071,6.4,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2016,69,36,330003,104668,4,1.91666666666667,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2016,25,5,142004,87549,4.7,5,,,,,,,,,,,,,,,,
34039,Union County,NJ,2016,158,68,552814,71801,5.1,2.32352941176471,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2016,18,,106102,74834,4.6,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2017,78,31,265446,59309,7.1,2.51612903225806,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2017,298,48,932449,93805,3.8,6.20833333333333,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2017,137,38,446229,86777,4,3.60526315789474,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2017,177,61,506488,65817,5,2.9016393442623,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2017,22,,93283,64450,9,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2017,43,29,151147,51786,6.8,1.48275862068966,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2017,337,315,797222,60284,5.5,1.06984126984127,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2017,86,16,291088,84639,4.6,5.375,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2017,440,164,672858,65673,4.2,2.68292682926829,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2017,35,,125076,113083,3.4,,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2017,112,48,368489,78161,4,2.33333333333333,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2017,347,89,826972,85187,4,3.89887640449438,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2017,237,42,622122,97627,4,5.64285714285714,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2017,171,29,493994,114269,3.5,5.89655172413793,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2017,152,24,595564,70493,4.7,6.33333333333333,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2017,166,54,504403,63127,5.6,3.07407407407407,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2017,20,0,62944,61322,6,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2017,101,24,330650,111838,3.7,4.20833333333333,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2017,39,6,141267,89744,4.3,6.5,,,,,,,,,,,,,,,,
34039,Union County,NJ,2017,213,90,554695,76830,4.6,2.36666666666667,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2017,30,,105761,79633,4.1,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2018,106,32,263994,60826,5.7,3.3125,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2018,476,57,932897,100181,3.3,8.35087719298246,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2018,196,33,445429,84470,3.6,5.93939393939394,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2018,253,50,506685,67135,4.5,5.06,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2018,33,,92604,62175,8.2,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2018,60,17,150274,51790,6.2,3.52941176470588,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2018,502,265,800530,62875,5,1.89433962264151,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2018,123,16,291754,81315,4.1,7.6875,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2018,633,161,672390,73337,3.7,3.93167701863354,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2018,60,,125265,112335,3.1,,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2018,165,41,368720,79979,3.5,4.02439024390244,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2018,559,76,825677,87666,3.5,7.35526315789474,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2018,323,26,620859,99223,3.5,12.4230769230769,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2018,244,27,493084,112396,3.1,9.03703703703704,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2018,209,18,601649,68483,4.1,11.6111111111111,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2018,236,78,503192,71959,4.9,3.02564102564103,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2018,28,,62776,64524,5.3,,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2018,165,28,330772,119731,3.3,5.89285714285714,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2018,54,7,140995,92284,3.8,7.71428571428571,,,,,,,,,,,,,,,,
34039,Union County,NJ,2018,324,74,556475,80737,4.1,4.37837837837838,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2018,43,,105709,77571,3.7,,,,,,,,,,,,,,,,,
34001,Atlantic County,NJ,2019,144,38,263653,62678,4.9,3.78947368421053,,,,,,,,,,,,,,,,
34003,Bergen County,NJ,2019,602,62,932256,107971,2.8,9.70967741935484,,,,,,,,,,,,,,,,
34005,Burlington County,NJ,2019,269,39,446160,88443,3.2,6.8974358974359,,,,,,,,,,,,,,,,
34007,Camden County,NJ,2019,333,61,506503,73168,3.9,5.45901639344262,,,,,,,,,,,,,,,,
34009,Cape May County,NJ,2019,44,,92247,66565,6.9,,,,,,,,,,,,,,,,,
34011,Cumberland County,NJ,2019,78,14,148995,54179,5.3,5.57142857142857,,,,,,,,,,,,,,,,
34013,Essex County,NJ,2019,652,234,802162,64522,4.3,2.78632478632479,,,,,,,,,,,,,,,,
34015,Gloucester County,NJ,2019,168,10,291842,87996,3.5,16.8,,,,,,,,,,,,,,,,
34017,Hudson County,NJ,2019,788,147,674030,77738,3.2,5.36054421768708,,,,,,,,,,,,,,,,
34019,Hunterdon County,NJ,2019,76,7,125201,117275,2.6,10.8571428571429,,,,,,,,,,,,,,,,
34021,Mercer County,NJ,2019,226,48,368047,79475,3,4.70833333333333,,,,,,,,,,,,,,,,
34023,Middlesex County,NJ,2019,708,69,824394,92770,3,10.2608695652174,,,,,,,,,,,,,,,,
34025,Monmouth County,NJ,2019,379,62,619687,102579,3.1,6.11290322580645,,,,,,,,,,,,,,,,
34027,Morris County,NJ,2019,317,26,491577,116328,2.7,12.1923076923077,,,,,,,,,,,,,,,,
34029,Ocean County,NJ,2019,264,28,607498,75627,3.5,9.42857142857143,,,,,,,,,,,,,,,,
34031,Passaic County,NJ,2019,299,80,501838,76039,4.2,3.7375,,,,,,,,,,,,,,,,
34033,Salem County,NJ,2019,38,5,62341,68146,4.6,7.6,,,,,,,,,,,,,,,,
34035,Somerset County,NJ,2019,210,33,329998,112722,2.9,6.36363636363636,,,,,,,,,,,,,,,,
34037,Sussex County,NJ,2019,74,,140710,100281,3.3,,,,,,,,,,,,,,,,,
34039,Union County,NJ,2019,416,78,556664,79953,3.5,5.33333333333333,,,,,,,,,,,,,,,,
34041,Warren County,NJ,2019,56,0,105455,83998,3.2,,,,,,,,,,,,,,,,,
